county,avgcases,avgdeaths,cases,deaths
Fairfield County,17,0,100529,2202
Hartford County,15,0,84528,2440
Litchfield County,3,0,14693,298
Middlesex County,2,0,12869,374
New Haven County,13,0,92403,2131
New London County,5,0,22587,451
Tolland County,1,0,9654,187
Windham County,2,0,10946,195
