county,avgcases,avgdeaths,cases,deaths
Barnstable County,3,0,13952,470
Berkshire County,2,0,6562,288
Bristol County,5,0,66922,1745
Dukes County,0,0,1415,0
Essex County,8,0,97975,2403
Franklin County,0,0,2585,113
Hampden County,5,0,52457,1537
Hampshire County,1,0,9177,300
Middlesex County,10,1,135401,3780
"Nantucket, Town and County of",0,0,1519,0
Norfolk County,6,0,55033,1804
Plymouth County,4,0,49305,1446
Suffolk County,10,0,93159,1849
Worcester County,8,0,77447,2248
